academic_year,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,total_type,school_phase,estimated_course_starts_by_pupils,total_schools,total_schools_participating,percentage_schools_participating
202324,2023,October,National,E92000001,England,,,,,,Total since start of NTP,All,4932327,-,-,-
202021,2021,August,National,E92000001,England,,,,,,Total in academic year,All,310717,-,-,-
202122,2022,August,National,E92000001,England,,,,,,Total in academic year,All,2215386,-,-,-
202223,2023,August,National,E92000001,England,,,,,,Total in academic year,All,2060618,21623,15316,70.8
202324,2023,October,National,E92000001,England,,,,,,Total in academic year,Primary,199923,16772,5758,34.3
202324,2023,October,National,E92000001,England,,,,,,Total in academic year,Secondary,125368,3416,1451,42.5
202324,2023,October,National,E92000001,England,,,,,,Total in academic year,Other,20315,1437,485,33.8
202324,2023,October,National,E92000001,England,,,,,,Total in academic year,All,345606,21625,7694,35.6
202324,2023,October,Regional,E92000001,England,E12000004,East Midlands,,,,Total in academic year,All,27347,2053,684,33.3
202324,2023,October,Regional,E92000001,England,E12000006,East of England,,,,Total in academic year,All,31453,2529,927,36.7
202324,2023,October,Regional,E92000001,England,E12000007,London,,,,Total in academic year,All,72863,2507,1119,44.6
202324,2023,October,Regional,E92000001,England,E12000001,North East,,,,Total in academic year,All,17237,1118,348,31.1
202324,2023,October,Regional,E92000001,England,E12000002,North West,,,,Total in academic year,All,54541,3128,1195,38.2
202324,2023,October,Regional,E92000001,England,E12000008,South East,,,,Total in academic year,All,43745,3351,1150,34.3
202324,2023,October,Regional,E92000001,England,E12000009,South West,,,,Total in academic year,All,23637,2355,738,31.3
202324,2023,October,Regional,E92000001,England,E12000005,West Midlands,,,,Total in academic year,All,38603,2368,792,33.4
202324,2023,October,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total in academic year,All,36180,2216,741,33.4
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total in academic year,All,2335,100,40,40
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total in academic year,All,4781,411,153,37.2
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total in academic year,All,2824,113,47,41.6
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total in academic year,All,2363,283,78,27.6
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total in academic year,All,3268,357,107,30
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total in academic year,All,1951,140,48,34.3
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total in academic year,All,2404,105,35,33.3
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total in academic year,All,5244,341,110,32.3
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total in academic year,All,151,21,5,23.8
202324,2023,October,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total in academic year,All,2026,182,61,33.5
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total in academic year,All,699,72,22,30.6
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total in academic year,All,2675,259,85,32.8
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total in academic year,All,1516,130,41,31.5
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total in academic year,All,6439,555,196,35.3
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total in academic year,All,5486,521,192,36.9
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total in academic year,All,1593,64,27,42.2
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total in academic year,All,5224,418,178,42.6
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total in academic year,All,1263,81,29,35.8
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total in academic year,All,759,52,20,38.5
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total in academic year,All,3879,321,115,35.8
202324,2023,October,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total in academic year,All,1920,56,22,39.3
202324,2023,October,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,Total in academic year,All,1630,60,25,41.7
202324,2023,October,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,Total in academic year,All,2462,126,52,41.3
202324,2023,October,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,Total in academic year,All,2100,84,40,47.6
202324,2023,October,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,Total in academic year,All,1651,84,35,41.7
202324,2023,October,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,Total in academic year,All,2573,100,30,30
202324,2023,October,Local authority,E92000001,England,E12000007,London,202,E09000007,Camden,Total in academic year,All,1411,56,28,50
202324,2023,October,Local authority,E92000001,England,E12000007,London,201,E09000001,City of London,Total in academic year,All,59,1,1,100
202324,2023,October,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,Total in academic year,All,3590,121,47,38.8
202324,2023,October,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,Total in academic year,All,2738,90,48,53.3
